player_id,player_name,player_job,player_god,kills,deaths,blessings,kd_ratio,score,last_position,last_battle_time,last_updated
1031,Quamx,,比湿奴,1,0,0,1,3.0,"441,552",2025-03-22 09:49:05,2025-03-22 18:34:14
4,伊人问花语,魔咒法师,比湿奴,1,0,0,1,3.0,"431,546",2025-03-22 09:49:04,2025-03-22 18:34:12
28,Angel丶黛薰,暗夜侠,比湿奴,1,0,0,1,3.0,"411,530",2025-03-22 09:48:57,2025-03-22 18:34:12
1089,梵※高,金刚,梵天,1,0,0,1,3.0,"428,538",2025-03-22 09:48:54,2025-03-22 18:34:16
1084,眩晕伱の小可爱,,比湿奴,1,0,0,1,3.0,"425,529",2025-03-22 09:48:49,2025-03-22 18:34:16
258,秋日的思绪,法师,比湿奴,1,0,0,1,3.0,"434,537",2025-03-22 09:48:37,2025-03-22 18:34:12
1039,ぐ狂γ飙べ,,比湿奴,1,0,0,1,3.0,"423,533",2025-03-22 09:48:27,2025-03-22 18:34:14
36,灬聖域乂随风灬,金刚,梵天,1,0,0,1,3.0,"429,531",2025-03-22 09:48:22,2025-03-22 18:34:12
1039,ぐ狂γ飙べ,,比湿奴,1,0,0,1,3.0,"420,535",2025-03-22 09:48:12,2025-03-22 18:34:14
1031,Quamx,,比湿奴,1,0,0,1,3.0,"443,546",2025-03-22 09:48:11,2025-03-22 18:34:14
28,Angel丶黛薰,暗夜侠,比湿奴,1,0,0,1,3.0,"434,542",2025-03-22 09:47:52,2025-03-22 18:34:12
36,灬聖域乂随风灬,金刚,梵天,1,0,0,1,3.0,"436,543",2025-03-22 09:47:05,2025-03-22 18:34:12
4,伊人问花语,魔咒法师,比湿奴,1,0,0,1,3.0,"441,550",2025-03-22 09:47:02,2025-03-22 18:34:12
1084,眩晕伱の小可爱,,比湿奴,1,0,0,1,3.0,"435,546",2025-03-22 09:46:54,2025-03-22 18:34:16
1031,Quamx,,比湿奴,1,0,0,1,3.0,"443,545",2025-03-22 09:46:36,2025-03-22 18:34:14
258,秋日的思绪,法师,比湿奴,1,0,0,1,3.0,"436,537",2025-03-22 09:46:04,2025-03-22 18:34:12
1039,ぐ狂γ飙べ,,比湿奴,1,0,0,1,3.0,"436,538",2025-03-22 09:45:57,2025-03-22 18:34:14
1111,Cmenピ,,比湿奴,1,0,0,1,3.0,"442,549",2025-03-22 09:45:46,2025-03-22 18:34:16
1039,ぐ狂γ飙べ,,比湿奴,1,0,0,1,3.0,"436,549",2025-03-22 09:45:28,2025-03-22 18:34:14
